date,price,txCount,txVolume,activeAddresses,symbol,name,open,high,low,close,volume,market
2013-04-28,135.3,41702.0,68798683.4463,117984.0,BTC,Bitcoin,135.3,135.98,132.1,134.21,0.0,1500520000.0
2013-04-28,4.3,9174.0,44319520.0666,17216.0,LTC,Litecoin,4.3,4.4,4.18,4.35,0.0,73773400.0
2013-04-29,134.44,51602.0,113812845.38,86925.0,BTC,Bitcoin,134.44,147.49,134.0,144.54,0.0,1491160000.0
2013-04-29,4.37,9275.0,36478096.6026,18395.0,LTC,Litecoin,4.37,4.57,4.23,4.38,0.0,74952700.0
2013-04-30,144.0,47450.0,84266323.8547,76871.0,BTC,Bitcoin,144.0,146.93,134.05,139.0,0.0,1597780000.0
2013-04-30,4.4,9099.0,40391660.1041,17810.0,LTC,Litecoin,4.4,4.57,4.17,4.3,0.0,75726800.0
2013-05-01,139.0,55176.0,120682532.517,83564.0,BTC,Bitcoin,139.0,139.89,107.72,116.99,0.0,1542820000.0
2013-05-01,4.29,8990.0,76374202.7997,16991.0,LTC,Litecoin,4.29,4.36,3.52,3.8,0.0,73901200.0
2013-05-02,116.38,55295.0,93375328.6292,81920.0,BTC,Bitcoin,116.38,125.6,92.28,105.21,0.0,1292190000.0
2013-05-02,3.78,8031.0,11631506.3398,15769.0,LTC,Litecoin,3.78,4.04,3.01,3.37,0.0,65242700.0
2013-05-03,106.25,51275.0,72731326.2283,82804.0,BTC,Bitcoin,106.25,108.13,79.1,97.75,0.0,1180070000.0
2013-05-03,3.39,6280.0,4632241.48783,12956.0,LTC,Litecoin,3.39,3.45,2.4,3.04,0.0,58607400.0
2013-05-04,98.1,50102.0,38965697.5445,69959.0,BTC,Bitcoin,98.1,115.0,92.5,112.5,0.0,1089890000.0
2013-05-04,3.03,6168.0,5725030.20416,12377.0,LTC,Litecoin,3.03,3.64,2.9,3.48,0.0,52476400.0
2013-05-05,112.9,50167.0,57083710.5451,72103.0,BTC,Bitcoin,112.9,118.8,107.14,115.91,0.0,1254760000.0
2013-05-05,3.49,5948.0,6579465.33848,12245.0,LTC,Litecoin,3.49,3.69,3.35,3.59,0.0,60525000.0
2013-05-06,115.98,53174.0,85671328.5051,85164.0,BTC,Bitcoin,115.98,124.66,106.64,112.3,0.0,1289470000.0
2013-05-06,3.59,10636.0,13489738.1338,18244.0,LTC,Litecoin,3.59,3.78,3.12,3.37,0.0,62356000.0
2013-05-07,112.25,56567.0,96724507.2971,109067.0,BTC,Bitcoin,112.25,113.44,97.7,111.5,0.0,1248470000.0
2013-05-07,3.37,8712.0,9082297.71815,16710.0,LTC,Litecoin,3.37,3.41,2.94,3.33,0.0,58588300.0
2013-05-08,109.6,50274.0,79890880.1045,102388.0,BTC,Bitcoin,109.6,115.78,109.6,113.57,0.0,1219450000.0
2013-05-08,3.28,9035.0,6748147.05307,16851.0,LTC,Litecoin,3.28,3.49,3.28,3.41,0.0,57196300.0
2013-05-09,113.2,66610.0,64539698.3101,81894.0,BTC,Bitcoin,113.2,113.46,109.26,112.67,0.0,1259980000.0
2013-05-09,3.4,12776.0,9291190.98695,20459.0,LTC,Litecoin,3.4,3.44,3.29,3.42,0.0,59337100.0
2013-05-10,112.8,67709.0,78832455.5616,84293.0,BTC,Bitcoin,112.8,122.0,111.55,117.2,0.0,1255970000.0
2013-05-10,3.41,10503.0,8136961.73222,18054.0,LTC,Litecoin,3.41,3.63,3.37,3.44,0.0,59588000.0
2013-05-11,117.7,73220.0,67245754.4799,80910.0,BTC,Bitcoin,117.7,118.68,113.01,115.24,0.0,1311050000.0
2013-05-11,3.46,7000.0,18682243.087,14207.0,LTC,Litecoin,3.46,3.48,3.3,3.35,0.0,60658000.0
2013-05-12,115.64,65260.0,52958026.9063,69607.0,BTC,Bitcoin,115.64,117.45,113.44,115.0,0.0,1288630000.0
2013-05-12,3.36,6924.0,8487885.82351,13924.0,LTC,Litecoin,3.36,3.42,3.22,3.27,0.0,59052900.0
2013-05-13,114.82,60824.0,76172686.1892,82796.0,BTC,Bitcoin,114.82,118.7,114.5,117.98,0.0,1279980000.0
2013-05-13,3.26,6596.0,7021996.48932,13620.0,LTC,Litecoin,3.26,3.37,3.2,3.28,0.0,57363200.0
2013-05-14,117.98,66316.0,78868232.5981,83723.0,BTC,Bitcoin,117.98,119.8,110.25,111.5,0.0,1315720000.0
2013-05-14,3.28,7218.0,7571576.1921,14370.0,LTC,Litecoin,3.28,3.33,2.78,2.82,0.0,57812000.0
2013-05-15,111.4,64030.0,69354130.1484,84715.0,BTC,Bitcoin,111.4,115.81,103.5,114.22,0.0,1242760000.0
2013-05-15,2.82,6500.0,6523932.12534,13301.0,LTC,Litecoin,2.82,3.04,2.64,2.94,0.0,49842500.0
2013-05-16,114.22,61010.0,68700561.7274,84113.0,BTC,Bitcoin,114.22,118.76,112.2,118.76,0.0,1274620000.0
2013-05-16,2.93,7434.0,6475101.89961,14608.0,LTC,Litecoin,2.93,2.97,2.69,2.92,0.0,51790900.0
2013-05-17,118.21,58570.0,80408408.4446,78407.0,BTC,Bitcoin,118.21,125.3,116.57,123.02,0.0,1319590000.0
2013-05-17,2.89,6638.0,6079749.17498,13148.0,LTC,Litecoin,2.89,3.34,2.87,3.19,0.0,51195900.0
2013-05-18,123.5,52066.0,73068676.3572,68328.0,BTC,Bitcoin,123.5,125.25,122.3,123.5,0.0,1379140000.0
2013-05-18,3.2,5660.0,5818653.76478,11868.0,LTC,Litecoin,3.2,3.36,3.13,3.29,0.0,56721100.0
